id,baseSalary,capHit,capPct,name,payrollType,player,playerId,position,_source_team_ids
acbd5d44-d301-4e63-a8cc-774d59dfaa26,0,26986607,,Kevin Huerter,capHold,1628989,1628989,"SG, SF",9
c5079cdc-7bf2-4e05-a70d-24668a59292c,9615393,19449432,,Jalen Duren,capHold,1631105,1631105,C,9
349b2c9e-3738-4088-b937-cdeb3647a99f,17000000,17000000,,John Collins,activeRoster,1628381,1628381,PF,9
0f4621c4-325c-4a11-bc6f-2f4ba09981a4,15992957,15992957,,Duncan Robinson,activeRoster,1629130,1629130,"SF, SG",9
5e28bdc9-67aa-4874-ab3c-502f3dbf376e,11323006,11323006,,Isaiah Joe,activeRoster,1630198,1630198,SG,9
d2737d1e-12c1-4b29-92cf-6d43047862ba,11117925,11117925,,Ausar Thompson,activeRoster,1641709,1641709,SF,9
945b0d6e-284e-4841-b6c4-e54d05e7a320,9069600,9069600,,Ronald Holland II,activeRoster,1641842,1641842,SF,9
74eba5e6-8a99-46eb-8e3d-0cb785d65fc6,0,7200000,,Malik Beasley,capHold,1627736,1627736,SG,9
b6fbfafe-7349-4db5-ad0f-5966016f1aa4,5602689,5602689,,Paul Reed,activeRoster,1630194,1630194,"C, PF",9
a78838ff-ef35-4b89-b6e8-48003247576b,4481280,4481280,,Ebuka Okorie,activeRoster,1643536,1643536,PG,9
b3ce5efa-92c3-4fcf-bf82-cee9d773df33,4000000,4000000,,Daniss Jenkins,restOfSeason,1642450,1642450,PG,9
9b924045-f231-41b3-95ad-75509c304634,3943679,3943679,,Javonte Green,activeRoster,1629750,1629750,"SG, SF",9
07f4c6e6-c37e-4dfb-a18a-4c52e41e0576,3815861,3815861,,Gary Harris,activeRoster,203914,203914,SG,9
2631cc96-db62-427f-995b-63ed1da57fb4,3815861,3815861,,Taurean Prince,activeRoster,1627752,1627752,"PF, SF",9
388da2e8-1622-41f2-90d9-fc01abc39e7c,2411090,2411090,,Tolu Smith,restOfSeason,1642449,1642449,PF,9
c7d5d75e-41f8-4f51-9351-f534f4117e5f,2185116,2185116,,Wendell Moore Jr.,capHold,1631111,1631111,SG,9
5d1947aa-07f9-4f42-b550-3ec878733fc4,2150917,2150917,,Chaz Lanier,activeRoster,1642404,1642404,SG,9
